"id","account_id","occurred_at","standard_qty","gloss_qty","poster_qty","total","standard_amt_usd","gloss_amt_usd","poster_amt_usd","total_amt_usd"
"1","1001","2015-10-06 17:31:14","123","22","24","169","613.77","164.78","194.88","973.43"
"2","1001","2015-11-05 03:34:33","190","41","57","288","948.10","307.09","462.84","1718.03"
"3","1001","2015-12-04 04:21:55","85","47","0","132","424.15","352.03","0.00","776.18"
"4","1001","2016-01-02 01:18:24","144","32","0","176","718.56","239.68","0.00","958.24"
"5","1001","2016-02-01 19:27:27","108","29","28","165","538.92","217.21","227.36","983.49"
"6","1001","2016-03-02 15:29:32","103","24","46","173","513.97","179.76","373.52","1067.25"
"7","1001","2016-04-01 11:20:18","101","33","92","226","503.99","247.17","747.04","1498.20"
"8","1001","2016-05-01 15:55:51","95","47","151","293","474.05","352.03","1226.12","2052.20"
"9","1001","2016-05-31 21:22:48","91","16","22","129","454.09","119.84","178.64","752.57"
"10","1001","2016-06-30 12:32:05","94","46","8","148","469.06","344.54","64.96","878.56"
"11","1001","2016-07-30 03:26:30","101","36","0","137","503.99","269.64","0.00","773.63"
"12","1001","2016-08-28 07:13:39","124","33","39","196","618.76","247.17","316.68","1182.61"
"13","1001","2016-09-26 23:28:25","104","10","44","158","518.96","74.90","357.28","951.14"
"14","1001","2016-10-26 20:31:30","97","143","54","294","484.03","1071.07","438.48","1993.58"
"15","1001","2016-11-25 23:21:32","127","39","44","210","633.73","292.11","357.28","1283.12"
"16","1001","2016-12-24 05:53:13","123","127","19","269","613.77","951.23","154.28","1719.28"
"17","1011","2016-12-21 10:59:34","527","14","0","541","2629.73","104.86","0.00","2734.59"
"18","1021","2015-10-12 02:21:56","516","23","0","539","2574.84","172.27","0.00","2747.11"
"19","1021","2015-11-11 07:37:01","497","61","0","558","2480.03","456.89","0.00","2936.92"
"20","1021","2015-12-11 16:53:18","483","0","21","504","2410.17","0.00","170.52","2580.69"
"21","1021","2016-01-10 09:29:45","535","0","34","569","2669.65","0.00","276.08","2945.73"
"22","1021","2016-02-09 00:50:46","502","4","9","515","2504.98","29.96","73.08","2608.02"
"23","1021","2016-03-10 00:38:52","555","19","4","578","2769.45","142.31","32.48","2944.24"
"24","1031","2016-12-25 03:54:27","1148","0","215","1363","5728.52","0.00","1745.80","7474.32"
"25","1041","2016-10-14 23:54:21","298","28","69","395","1487.02","209.72","560.28","2257.02"
"26","1041","2016-11-13 10:11:52","307","22","0","329","1531.93","164.78","0.00","1696.71"
"27","1041","2016-12-12 07:50:01","157","34","21","212","783.43","254.66","170.52","1208.61"
"28","1051","2016-08-02 20:13:27","505","84","0","589","2519.95","629.16","0.00","3149.11"
"29","1051","2016-09-01 05:38:19","498","35","9","542","2485.02","262.15","73.08","2820.25"
"30","1051","2016-10-01 00:48:28","486","0","1","487","2425.14","0.00","8.12","2433.26"
"31","1051","2016-10-31 06:47:30","505","71","19","595","2519.95","531.79","154.28","3206.02"
"32","1051","2016-11-30 07:31:16","490","18","0","508","2445.10","134.82","0.00","2579.92"
"33","1051","2016-12-30 08:45:43","495","1","1","497","2470.05","7.49","8.12","2485.66"
"34","1061","2016-10-19 16:04:11","290","52","23","365","1447.10","389.48","186.76","2023.34"
"35","1061","2016-11-17 08:43:27","249","3","17","269","1242.51","22.47","138.04","1403.02"
"36","1061","2016-12-16 21:32:36","290","22","18","330","1447.10","164.78","146.16","1758.04"
"37","1071","2016-12-13 09:01:03","803","31","19","853","4006.97","232.19","154.28","4393.44"
"38","1081","2015-02-12 22:57:54","283","61","23","367","1412.17","456.89","186.76","2055.82"
"39","1081","2015-03-13 09:48:32","309","0","25","334","1541.91","0.00","203.00","1744.91"
"40","1081","2015-04-12 04:38:22","292","30","11","333","1457.08","224.70","89.32","1771.10"
"41","1081","2015-05-12 23:20:46","273","30","19","322","1362.27","224.70","154.28","1741.25"
"42","1081","2015-06-11 13:43:57","291","36","62","389","1452.09","269.64","503.44","2225.17"
"43","1081","2015-07-11 23:17:32","433","18","73","524","2160.67","134.82","592.76","2888.25"
"44","1081","2015-08-09 18:29:20","297","24","9","330","1482.03","179.76","73.08","1734.87"
"45","1081","2015-09-07 15:35:21","293","30","20","343","1462.07","224.70","162.40","1849.17"
"46","1081","2015-11-06 04:19:20","321","38","16","375","1601.79","284.62","129.92","2016.33"
"47","1081","2015-12-05 21:51:34","311","31","7","349","1551.89","232.19","56.84","1840.92"
"48","1081","2016-01-03 23:21:47","314","20","208","542","1566.86","149.80","1688.96","3405.62"
"49","1081","2016-02-01 20:00:37","298","26","25","349","1487.02","194.74","203.00","1884.76"
"50","1081","2016-03-02 06:07:31","270","40","31","341","1347.30","299.60","251.72","1898.62"
"51","1081","2016-04-30 07:46:13","501","26","15","542","2499.99","194.74","121.80","2816.53"
"52","1081","2016-05-30 04:02:38","273","74","29","376","1362.27","554.26","235.48","2152.01"
"53","1081","2016-06-28 06:18:20","328","25","21","374","1636.72","187.25","170.52","1994.49"
"54","1081","2016-07-28 22:48:55","302","54","19","375","1506.98","404.46","154.28","2065.72"
"55","1081","2016-08-26 16:47:57","272","25","30","327","1357.28","187.25","243.60","1788.13"
"56","1081","2016-09-24 09:47:30","319","45","101","465","1591.81","337.05","820.12","2748.98"
"57","1081","2016-10-24 21:46:10","303","28","0","331","1511.97","209.72","0.00","1721.69"
"58","1081","2016-11-23 04:38:57","334","25","20","379","1666.66","187.25","162.40","2016.31"
"59","1081","2016-12-23 13:19:56","293","29","0","322","1462.07","217.21","0.00","1679.28"
"60","1091","2014-08-15 05:38:05","150","0","19","169","748.50","0.00","154.28","902.78"
"61","1091","2014-09-13 05:11:21","150","28","16","194","748.50","209.72","129.92","1088.14"
"62","1091","2014-10-13 12:12:55","146","196","3","345","728.54","1468.04","24.36","2220.94"
"63","1091","2014-11-12 06:54:10","146","10","17","173","728.54","74.90","138.04","941.48"
"64","1091","2014-12-11 10:36:32","261","25","13","299","1302.39","187.25","105.56","1595.20"
"65","1091","2015-01-09 14:16:50","148","15","92","255","738.52","112.35","747.04","1597.91"
"66","1091","2015-02-08 10:01:50","132","14","10","156","658.68","104.86","81.20","844.74"
"67","1091","2015-04-07 13:29:20","95","0","0","95","474.05","0.00","0.00","474.05"
"68","1091","2015-06-05 19:18:24","150","0","11","161","748.50","0.00","89.32","837.82"
"69","1091","2015-07-05 02:45:54","145","0","9","154","723.55","0.00","73.08","796.63"
"70","1091","2015-08-03 12:02:33","122","5","0","127","608.78","37.45","0.00","646.23"
"71","1091","2015-09-01 14:30:59","150","19","21","190","748.50","142.31","170.52","1061.33"
"72","1091","2015-10-01 15:53:49","163","25","0","188","813.37","187.25","0.00","1000.62"
"73","1091","2015-10-31 16:07:00","135","0","8","143","673.65","0.00","64.96","738.61"
"74","1091","2015-11-29 21:32:47","162","13","0","175","808.38","97.37","0.00","905.75"
"75","1091","2015-12-28 18:48:29","144","10","17","171","718.56","74.90","138.04","931.50"
"76","1091","2016-01-26 06:32:50","153","0","69","222","763.47","0.00","560.28","1323.75"
"77","1091","2016-02-25 07:04:29","144","5","19","168","718.56","37.45","154.28","910.29"
"78","1091","2016-03-25 22:26:45","99","0","33","132","494.01","0.00","267.96","761.97"
"79","1091","2016-04-24 07:33:58","145","0","15","160","723.55","0.00","121.80","845.35"
"80","1091","2016-05-23 07:40:57","156","0","11","167","778.44","0.00","89.32","867.76"
"81","1091","2016-06-22 01:09:48","149","8","0","157","743.51","59.92","0.00","803.43"
"82","1091","2016-07-21 18:51:18","148","0","50","198","738.52","0.00","406.00","1144.52"
"83","1091","2016-08-20 04:50:59","137","12","6","155","683.63","89.88","48.72","822.23"
"84","1091","2016-09-18 20:57:59","172","0","15","187","858.28","0.00","121.80","980.08"
"85","1091","2016-10-17 13:31:48","146","10","0","156","728.54","74.90","0.00","803.44"
"86","1091","2016-11-15 18:16:13","254","2","5","261","1267.46","14.98","40.60","1323.04"
"87","1091","2016-12-14 21:26:59","153","0","13","166","763.47","0.00","105.56","869.03"
"88","1101","2015-06-24 13:08:15","182","339","17","538","908.18","2539.11","138.04","3585.33"
"89","1101","2015-08-22 19:40:36","175","20","19","214","873.25","149.80","154.28","1177.33"
"90","1101","2015-09-21 05:12:37","139","0","0","139","693.61","0.00","0.00","693.61"
"91","1101","2015-10-21 16:35:51","148","0","17","165","738.52","0.00","138.04","876.56"
"92","1101","2015-11-21 00:11:01","155","5","34","194","773.45","37.45","276.08","1086.98"
"93","1101","2015-12-19 18:36:08","158","52","2","212","788.42","389.48","16.24","1194.14"
"94","1101","2016-01-17 14:32:49","149","11","6","166","743.51","82.39","48.72","874.62"
"95","1101","2016-02-15 07:57:58","168","1","2","171","838.32","7.49","16.24","862.05"
"96","1101","2016-03-15 11:36:03","14","8","16","38","69.86","59.92","129.92","259.70"
"97","1101","2016-04-14 00:14:37","160","16","0","176","798.40","119.84","0.00","918.24"
"98","1101","2016-05-13 02:19:44","163","16","22","201","813.37","119.84","178.64","1111.85"
"99","1101","2016-06-12 12:56:04","150","0","12","162","748.50","0.00","97.44","845.94"
"100","1111","2015-11-15 17:49:49","301","77","23","401","1501.99","576.73","186.76","2265.48"
"101","1111","2015-12-15 22:02:35","349","41","0","390","1741.51","307.09","0.00","2048.60"
"102","1121","2015-08-26 00:32:35","293","33","11","337","1462.07","247.17","89.32","1798.56"
"103","1121","2015-09-25 13:56:00","298","64","0","362","1487.02","479.36","0.00","1966.38"
"104","1121","2015-10-24 15:43:59","298","72","27","397","1487.02","539.28","219.24","2245.54"
"105","1121","2015-11-22 17:26:40","331","32","10","373","1651.69","239.68","81.20","1972.57"
"106","1121","2015-12-21 01:14:30","291","0","16","307","1452.09","0.00","129.92","1582.01"
"107","1121","2016-01-20 15:31:29","200","38","22","260","998.00","284.62","178.64","1461.26"
"108","1121","2016-02-19 18:07:00","284","48","7","339","1417.16","359.52","56.84","1833.52"
"109","1121","2016-03-19 07:18:30","294","26","0","320","1467.06","194.74","0.00","1661.80"
"110","1121","2016-04-18 15:26:58","298","0","21","319","1487.02","0.00","170.52","1657.54"
"111","1121","2016-05-17 13:18:04","304","40","26","370","1516.96","299.60","211.12","2027.68"
"112","1121","2016-07-15 03:35:43","294","19","13","326","1467.06","142.31","105.56","1714.93"
"113","1121","2016-08-13 20:41:27","302","14","0","316","1506.98","104.86","0.00","1611.84"
"114","1121","2016-09-11 23:20:42","305","19","0","324","1521.95","142.31","0.00","1664.26"
"115","1121","2016-10-10 10:54:31","303","30","133","466","1511.97","224.70","1079.96","2816.63"
"116","1121","2016-11-08 02:29:47","294","23","47","364","1467.06","172.27","381.64","2020.97"
"117","1121","2016-12-07 18:48:16","321","38","9","368","1601.79","284.62","73.08","1959.49"
"118","1131","2016-05-13 06:54:10","377","8","32","417","1881.23","59.92","259.84","2200.99"
"119","1131","2016-06-12 12:29:45","0","30","23","53","0.00","224.70","186.76","411.46"
"120","1131","2016-07-12 00:17:14","296","32","22","350","1477.04","239.68","178.64","1895.36"
"121","1131","2016-08-10 23:47:41","273","134","0","407","1362.27","1003.66","0.00","2365.93"
"122","1131","2016-09-09 17:07:16","310","21","0","331","1546.90","157.29","0.00","1704.19"
"123","1131","2016-10-09 15:13:25","307","20","38","365","1531.93","149.80","308.56","1990.29"
"124","1131","2016-11-07 05:10:56","0","0","0","0","0.00","0.00","0.00","0.00"
"125","1131","2016-12-07 06:28:31","303","28","0","331","1511.97","209.72","0.00","1721.69"
"126","1141","2016-09-24 03:35:17","193","0","0","193","963.07","0.00","0.00","963.07"
"127","1141","2016-10-23 20:29:12","174","0","34","208","868.26","0.00","276.08","1144.34"
"128","1141","2016-11-22 20:51:49","150","0","7","157","748.50","0.00","56.84","805.34"
"129","1141","2016-12-21 15:52:58","143","1045","2157","3345","713.57","7827.05","17514.84","26055.46"
"130","1151","2016-12-30 05:02:46","503","0","56","559","2509.97","0.00","454.72","2964.69"
"131","1161","2016-03-06 03:01:33","366","35","13","414","1826.34","262.15","105.56","2194.05"
"132","1161","2016-04-05 22:03:16","518","10","8","536","2584.82","74.90","64.96","2724.68"
"133","1161","2016-05-05 10:04:06","495","37","0","532","2470.05","277.13","0.00","2747.18"
"134","1161","2016-06-04 09:20:44","497","99","22","618","2480.03","741.51","178.64","3400.18"
"135","1161","2016-07-03 10:40:49","511","0","13","524","2549.89","0.00","105.56","2655.45"
"136","1161","2016-08-01 17:54:19","495","0","28","523","2470.05","0.00","227.36","2697.41"
"137","1161","2016-08-31 03:20:24","458","2","27","487","2285.42","14.98","219.24","2519.64"
"138","1161","2016-09-29 07:56:39","423","10","21","454","2110.77","74.90","170.52","2356.19"
"139","1161","2016-10-28 07:33:35","501","7","0","508","2499.99","52.43","0.00","2552.42"
"140","1161","2016-11-26 12:57:21","427","16","16","459","2130.73","119.84","129.92","2380.49"
"141","1161","2016-12-25 20:33:25","509","7","6","522","2539.91","52.43","48.72","2641.06"
"142","1171","2016-08-24 20:41:08","332","32","13","377","1656.68","239.68","105.56","2001.92"
"143","1171","2016-09-23 03:36:03","298","0","66","364","1487.02","0.00","535.92","2022.94"
"144","1171","2016-10-22 17:50:39","288","22","26","336","1437.12","164.78","211.12","1813.02"
"145","1171","2016-11-20 03:49:54","271","29","26","326","1352.29","217.21","211.12","1780.62"
"146","1171","2016-12-20 18:09:01","257","34","63","354","1282.43","254.66","511.56","2048.65"
"147","1181","2013-12-17 23:02:57","339","0","0","339","1691.61","0.00","0.00","1691.61"
"148","1181","2014-01-16 12:41:35","511","1","27","539","2549.89","7.49","219.24","2776.62"
"149","1181","2014-02-14 08:36:49","487","3","19","509","2430.13","22.47","154.28","2606.88"
"150","1181","2014-03-16 04:54:17","481","14","15","510","2400.19","104.86","121.80","2626.85"
"151","1181","2014-04-14 13:50:32","505","0","99","604","2519.95","0.00","803.88","3323.83"
"152","1181","2014-05-14 05:25:30","504","54","0","558","2514.96","404.46","0.00","2919.42"
"153","1181","2014-06-13 09:44:25","510","7","0","517","2544.90","52.43","0.00","2597.33"
"154","1181","2014-07-13 15:36:01","493","0","0","493","2460.07","0.00","0.00","2460.07"
"155","1181","2014-08-12 04:53:21","493","0","18","511","2460.07","0.00","146.16","2606.23"
"156","1181","2014-09-10 19:12:10","501","19","0","520","2499.99","142.31","0.00","2642.30"
"157","1181","2014-10-10 14:13:28","498","46","22","566","2485.02","344.54","178.64","3008.20"
"158","1181","2014-11-09 22:03:16","706","13","3","722","3522.94","97.37","24.36","3644.67"
"159","1181","2014-12-09 12:46:46","476","0","4","480","2375.24","0.00","32.48","2407.72"
"160","1181","2015-01-08 07:23:41","476","0","2","478","2375.24","0.00","16.24","2391.48"
"161","1181","2015-02-06 13:29:48","510","2","12","524","2544.90","14.98","97.44","2657.32"
"162","1181","2015-03-08 06:05:39","484","0","35","519","2415.16","0.00","284.20","2699.36"
"163","1181","2015-04-06 03:14:32","489","1","9","499","2440.11","7.49","73.08","2520.68"
"164","1181","2015-05-06 13:45:56","508","21","0","529","2534.92","157.29","0.00","2692.21"
"165","1181","2015-06-05 17:35:06","511","11","0","522","2549.89","82.39","0.00","2632.28"
"166","1181","2015-07-04 20:58:59","491","0","0","491","2450.09","0.00","0.00","2450.09"
